tweet_id,retweet_count,favorite_count 
819015337530290176,40061,0
819015331746349057,20654,0
819006400881917954,20654,48039
819004803107983360,40061,91952
818646164899774465,22783,0
818627210458333184,8128,23608
818614493328580609,2820,10500
818588835076603904,6702,0
818536468981415936,2708,11607
818307523543449600,8867,0
818259473185828864,2497,11747
818145370475810820,2836,13086
817908911860748288,861,5151
817827839487737858,29670,55204
817777686764523521,2922,11390
817536400337801217,3316,12574
817502432452313088,3705,0
817423860136083457,16338,36434
817415592588222464,1051,5977
817181837579653120,9290,0
817171292965273600,2195,9293
817120970343411712,2864,12965
817056546584727552,1806,9134
816829038950027264,5153,0
816816676327063552,2223,10650
816697700272001025,2416,10447
816450570814898180,8867,32580
816336735214911488,2136,9159
816091915477250048,2359,9518
816062466425819140,1137,0
816014286006976512,5814,0
815990720817401858,1137,5328
815966073409433600,9290,23920
815745968457060357,4519,0
815736392542261248,2486,10494
815639385530101762,1797,8757
815390420867969024,4166,11046
814986499976527872,1415,8142
814638523311648768,2964,12019
814578408554463233,6352,0
814530161257443328,2032,9239
814153002265309185,9511,30709
813944609378369540,3496,0
813910438903693312,2061,9916
813812741911748608,15337,38786
813800681631023104,1922,8904
813217897535406080,7993,19943
813202720496779264,1969,9798
813187593374461952,4787,21168
813172488309972993,2094,9958
813157409116065792,2428,8283
813142292504645637,2579,8992
813130366689148928,486,4770
813127251579564032,3422,12660
813112105746448384,3020,11021
813096984823349248,3944,11244
813081950185472002,3033,10549
813066809284972545,2133,8502
813051746834595840,8038,22395
812781120811126785,2093,8096
812709060537683968,1567,7073
812503143955202048,1335,6489
812466873996607488,2109,8533
812372279581671427,4018,14634
811985624773361665,1541,7759
811744202451197953,1762,8066
811647686436880384,812,5958
811627233043480576,3423,13648
811386762094317568,7009,22347
810984652412424192,1570,5694
810896069567610880,1959,9672
810657578271330305,2904,11731
810284430598270976,12495,37871
810254108431155201,3673,15703
809920764300447744,4282,16564
809808892968534016,5381,0
809448704142938112,1610,7411
809220051211603969,6160,21309
809084759137812480,3845,14140
808838249661788160,3336,10807
808733504066486276,2383,8460
808501579447930884,2857,12057
808344865868283904,22783,45443
808134635716833280,6538,0
808106460588765185,2408,9345
808001312164028416,3877,13450
807621403335917568,4033,15584
807106840509214720,60996,127081
807059379405148160,8039,0
807010152071229440,4201,13963
806629075125202948,38240,80385
806620845233815552,6059,0
806576416489959424,2112,5185
806542213899489280,2597,10930
806242860592926720,12811,0
806219024703037440,1311,6865
805958939288408065,5904,0
805932879469572096,2097,8850
805826884734976000,2011,7046
805823200554876929,8825,0
805520635690676224,1805,6139
805487436403003392,2782,9389
805207613751304193,1871,8346
804738756058218496,4227,14692
804475857670639616,2209,6570
804413760345620481,3539,0
804026241225523202,17813,47764
803773340896923648,3045,10747
